x_position_mm,y_position_mm,groundtruth,snr,peak_amplitude,time_of_flight,peak_slope,signal_energy,rms,dominant_frequency,spectral_centroid,bandwidth
70.0,50.0,571.3,5.883705647696087,4248.119094047756,178.5,37.292801826709336,5066248094.345219,3245.418358376009,4158.004158004158,59691.520083796284,0.0
70.0,60.0,571.3,4.831979925038521,3885.725253206559,177.5,0.0,4145882513.112547,2935.864159674175,4158.004158004158,72806.39404494806,4158.004158004158
70.0,70.0,571.3,4.857379201056055,3087.681393420716,105.5,0.0,2745784408.932293,2389.2449633015303,4158.004158004158,68015.57396921689,4158.004158004158
70.0,80.0,571.3,4.560730037421901,2964.47337026906,274.0,0.0,2399852740.6237545,2233.6738430343007,4158.004158004158,61055.135451434355,0.0
70.0,90.0,571.3,4.3187653697524215,2968.8841311174638,131.5,0.0,2301412183.2683616,2187.382159947282,4158.004158004158,107639.62698111302,12474.012474012474
70.0,100.0,571.3,4.421787168971201,3464.418654096612,132.0,0.0,2421674927.7006464,2243.806410846723,4158.004158004158,93899.741441883,12474.012474012474
70.0,110.0,571.3,4.169306020913335,3981.1977215985917,136.0,0.0,2561860516.0396485,2307.837372727933,4158.004158004158,125167.02229937837,8316.008316008316
70.0,120.0,571.3,3.971142251320669,3868.664035798315,139.5,0.0,2844214988.552086,2431.692594537529,4158.004158004158,102011.27006098857,8316.008316008316
70.0,130.0,571.3,4.348542374362394,4133.257178860115,169.0,0.0,2762247048.5317874,2396.3967444091854,4158.004158004158,78574.28747701431,8316.008316008316
70.0,140.0,571.3,4.21245133734867,4435.2398194489915,169.5,0.0,3108964453.2479696,2542.350007738134,4158.004158004158,94951.73441432498,4158.004158004158
70.0,150.0,571.3,4.596068535415054,3583.978196591893,171.0,0.0,2329053243.0544643,2200.478705740359,4158.004158004158,79491.28521837351,4158.004158004158
70.0,160.0,571.3,4.653919164765262,3248.6562284945667,201.0,0.0,2521420570.800272,2289.549870330929,4158.004158004158,92659.47274169978,4158.004158004158
70.0,170.0,571.3,4.575744291048399,3389.891867554967,206.0,0.0,2182245919.2450914,2129.9985453056884,4158.004158004158,116110.60027561775,0.0
70.0,180.0,571.3,4.672373307883219,3540.6678265120463,210.5,0.0,3252451787.2416673,2600.356519312199,4158.004158004158,112517.95605465784,0.0
70.0,190.0,571.3,4.453301496246665,2862.7813987013446,253.00000000000003,0.0,2274358443.771228,2174.48751042546,4158.004158004158,81165.78862057385,0.0
70.0,200.0,571.3,4.473046073555236,4436.036800345831,250.50000000000003,0.0,3979520285.7669873,2876.357235730728,4158.004158004158,90013.41249628837,8316.008316008316
70.0,210.0,571.3,4.2900367013440945,3709.9903931756253,242.5,0.0,2801477197.7333603,2413.3538734227463,4158.004158004158,75662.0664229165,8316.008316008316
70.0,220.0,571.3,4.43882363454633,3698.015571369534,272.5,0.0,3072649395.457241,2527.458106715141,4158.004158004158,109092.19552324993,8316.008316008316
70.0,230.0,571.3,4.35162445244828,3728.7645181805847,273.0,0.0,2872693417.4356213,2443.836243937847,4158.004158004158,98959.63385825844,0.0
70.0,240.0,571.3,4.4680797526249165,3502.7010073301817,275.0,0.0,3076689328.2034955,2529.11911735659,4158.004158004158,88221.39362276968,0.0
70.0,250.0,571.3,4.421885126842207,3617.2893935223246,209.0,0.0,3244031947.0799875,2596.9884794369914,4158.004158004158,88646.4954579183,0.0
70.0,260.0,571.3,4.16343775861059,3126.4257736792947,213.5,0.0,2709940785.5684767,2373.599066221882,4158.004158004158,79743.43145866643,0.0
70.0,270.0,571.3,4.153619659329792,3002.635030325932,177.5,0.0,2690399961.562706,2365.025816653167,4158.004158004158,86302.88083259006,0.0
70.0,280.0,571.3,4.2551298294621756,3591.472739480428,245.0,0.0,3539836675.087921,2712.808103577471,4158.004158004158,61555.45926418881,0.0
